First handshake timeout try 1 time  Times passed 1000ms
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 1801268
Acknowledge package seqnum 1809268
Acknowledge package seqnum 1817268
Acknowledge package seqnum 1825268
Acknowledge package seqnum 1833268
Acknowledge package seqnum 1841268
Acknowledge package seqnum 1849268
Acknowledge package seqnum 1857268
Acknowledge package seqnum 1865268
Acknowledge package seqnum 1873268
Acknowledge package seqnum 1881268
Acknowledge package seqnum 1889268
Acknowledge package seqnum 1897268
Acknowledge package seqnum 1905268
Acknowledge package seqnum 1906621
File ./1.jpg succeed to trans 
First wave Succeed! 
Acknowledge Second Wave
Third wave Succeed
Acknowledge Fourth Wave
Succedd to disconnect! 
First handshake timeout try 1 time  Times passed 1000ms
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 14033
Acknowledge package seqnum 22033
Acknowledge package seqnum 30033
Acknowledge package seqnum 38033
Acknowledge package seqnum 46033
Acknowledge package seqnum 54033
Acknowledge package seqnum 62033
Acknowledge package seqnum 70033
Acknowledge package seqnum 78033
Acknowledge package seqnum 86033
Acknowledge package seqnum 94033
Acknowledge package seqnum 102033
Acknowledge package seqnum 110033
Acknowledge package seqnum 118033
Acknowledge package seqnum 126033
Acknowledge package seqnum 134033
Acknowledge package seqnum 142033
Acknowledge package seqnum 150033
Acknowledge package seqnum 158033
Acknowledge package seqnum 166033
Acknowledge package seqnum 174033
Acknowledge package seqnum 182033
Acknowledge package seqnum 190033
Acknowledge package seqnum 198033
Acknowledge package seqnum 206033
Acknowledge package seqnum 214033
Acknowledge package seqnum 222033
Acknowledge package seqnum 230033
Acknowledge package seqnum 238033
Acknowledge package seqnum 246033
Acknowledge package seqnum 254033
Acknowledge package seqnum 262033
Acknowledge package seqnum 270033
Acknowledge package seqnum 278033
Acknowledge package seqnum 286033
Acknowledge package seqnum 294033
Acknowledge package seqnum 302033
Acknowledge package seqnum 310033
Acknowledge package seqnum 318033
Acknowledge package seqnum 326033
Acknowledge package seqnum 334033
Acknowledge package seqnum 342033
Acknowledge package seqnum 350033
Acknowledge package seqnum 358033
Acknowledge package seqnum 366033
Acknowledge package seqnum 374033
Acknowledge package seqnum 382033
Acknowledge package seqnum 390033
Acknowledge package seqnum 398033
Acknowledge package seqnum 406033
Acknowledge package seqnum 414033
Acknowledge package seqnum 422033
Acknowledge package seqnum 430033
Acknowledge package seqnum 438033
Acknowledge package seqnum 446033
